,User,Tweet
0,joemcguireins,RT @Travelers: Summer nights are the perfect time to roast marshmallows around the fire. 🔥 Help keep your family and guests safe by followi…
1,karamelleqt,…That reservation was just sent this morning …. Mind u this happened May 29…@Travelers thanks a bunch
2,TRV_Careers,"As the fall semester quickly approaches, Alan Schnitzer, Chairman and CEO of @Travelers, recently sat down with our 400+ #interns to discuss their summer experience and answer their career questions. #TRVintern

Learn more about our #internship program: https://t.co/5FHb3pJk8z https://t.co/zaRqdJ110I"
3,DoveInsurance,RT @Travelers: Summer nights are the perfect time to roast marshmallows around the fire. 🔥 Help keep your family and guests safe by followi…
4,InsuranceOff1ce,RT @Travelers: Summer nights are the perfect time to roast marshmallows around the fire. 🔥 Help keep your family and guests safe by followi…
5,derkadurk,"New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the climate crisis.

Tell insurance companies @AIGinsurance @Chubb @Travelers to stop investing in fossil fuels!
@StopMoneyPipe 
https://t.co/vM6ae6gvD4"
6,catfishlee55,@BarryBottino @Travelers @SafetyHealthMag Yea
7,JcGret,"@AutismNotEvery1 @progressive @Travelers has the best prices in South Texas and their customer service is good, although I've never had to open a classifieds with them."
8,TaliaJaeSpeaks,@Travelers Then stop using loopholes. #goodday
9,TaliaJaeSpeaks,"As of now, @turo getting only 👎🏾. If you have a #caraccident and the driver says they are #rent with #turo, GET EVERY PERSONS IN THE VEHICLE INFORMATION. Cause the 1️⃣ driving may NOT be the 1️⃣ renting. That’s the loophole @Travelers is using. #blessing"
10,Stabaco,@Travelers   I sent you an email.
11,Sam1i91,RT @Travelers: We're here to help make wishes come true. #ItsBetterUnderTheUmbrella https://t.co/VQDzZoVj6t
12,yourteam_ais,RT @Travelers: We're here to help make wishes come true. #ItsBetterUnderTheUmbrella https://t.co/VQDzZoVj6t
13,smb2_airport,RT @imam_rachman_: Kemenhub Imbau Maskapai Terapkan Harga Tiket Lebih Terjangkau https://t.co/2SUjNIdXLS @jokowi @kemenhub151 @BudiKaryaS @…
14,SpolarMike,"PGATOUR: Round 3 of the @WyndhamChamp has been suspended due to weather.

Check the Weather Hub presented by @Travelers for the latest updates."
15,PGAGolfChat,"PGATOUR: Round 3 of the @WyndhamChamp has been suspended due to weather.

Check the Weather Hub presented by @Travelers for the latest updates."
16,DedyDamxs,RT @imam_rachman_: Hore! Dibuka Lagi Penerbangan ke Jakarta lewat Bandara Purbalingga https://t.co/6AIFrXposL @jokowi @kemenhub151 @BudiKar…
17,mawaluddin,RT @imam_rachman_: Kemenhub Imbau Maskapai Terapkan Harga Tiket Lebih Terjangkau https://t.co/2SUjNIdXLS @jokowi @kemenhub151 @BudiKaryaS @…
18,mansurhidayat_,"@imam_rachman_ @InfoHumasBMKG @kemenhub151 @BudiKaryaS @djplkemenhub151 @_TNIAL_ @SAR_NASIONAL @humas_bsnjogja @DPP_HNSI @ppscilacap @HumasBakamlaRI @Travelers @YLKI_ID @megasalsabila76 @MutiaraSyafrina Ayo saudaraku antisipasi, mitigasi"
19,imam_rachman_,Kemenhub Imbau Maskapai Terapkan Harga Tiket Lebih Terjangkau https://t.co/2SUjNIdXLS @jokowi @kemenhub151 @BudiKaryaS @djpu151 @AngkasaPura_2 @AP_Airports @mawaluddin @YLKI_ID @Travelers @IndonesiaGaruda @Citilink @LionAirID @SriwijayaAir @MutiaraSyafrina @pramugari_ID
20,imam_rachman_,Perairan Jawa Tengah-Bali Terancam Gelombang Tinggi Hingga 6 Meter https://t.co/idEk1FBVdv @InfoHumasBMKG @kemenhub151 @BudiKaryaS @djplkemenhub151 @_TNIAL_ @SAR_NASIONAL @humas_bsnjogja @DPP_HNSI @ppscilacap @HumasBakamlaRI @Travelers @YLKI_ID @megasalsabila76 @MutiaraSyafrina @
21,Andy_pm19,"RT @PGATOUR: Round 3 of the @WyndhamChamp has been suspended due to weather.

Check the Weather Hub presented by @Travelers for the latest…"
22,jacktowntweet,"RT @PGATOUR: Round 3 of the @WyndhamChamp has been suspended due to weather.

Check the Weather Hub presented by @Travelers for the latest…"
23,lmgaffney,@PGATOUR @WyndhamChamp @Travelers Any chance we get back out today??
24,Bluebel80617402,"RT @oil_strike: New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the climate c…"
25,Fatgblueteam1,"RT @PGATOUR: Round 3 of the @WyndhamChamp has been suspended due to weather.

Check the Weather Hub presented by @Travelers for the latest…"
26,Kiva77,@yumyumravioli @PGATOUR @WyndhamChamp @Travelers Turd
27,sambonnar2,"RT @PGATOUR: Round 3 of the @WyndhamChamp has been suspended due to weather.

Check the Weather Hub presented by @Travelers for the latest…"
28,settinfruitypix,@BucamanGCW @PGATOUR @WyndhamChamp @Travelers https://t.co/BhnqO1VDpC
29,housedancernyc,@PGATOUR @WyndhamChamp @Travelers Man and it just got really good lol
30,TripleBogeyGC,"PGATOUR: Round 3 of the @WyndhamChamp has been suspended due to weather.

Check the Weather Hub presented by @Travelers for the latest updates."
31,GaryGossipJr,@PGATOUR @WyndhamChamp @Travelers Was looking at the leaderboard and was 👍 like....huh....who?! Huh...
32,opressor_es,"RT @PGATOUR: Round 3 of the @WyndhamChamp has been suspended due to weather.

Check the Weather Hub presented by @Travelers for the latest…"
33,texasminstrel,"RT @PGATOUR: Round 3 of the @WyndhamChamp has been suspended due to weather.

Check the Weather Hub presented by @Travelers for the latest…"
34,WyndhamChamp,"RT @PGATOUR: Round 3 of the @WyndhamChamp has been suspended due to weather.

Check the Weather Hub presented by @Travelers for the latest…"
35,BucamanGCW,@PGATOUR @WyndhamChamp @Travelers Buns
36,HisVibeness,@PGATOUR @WyndhamChamp @Travelers https://t.co/UoGbTV9VQl
37,chriss857,@PGATOUR @WyndhamChamp @Travelers IBF is a hero
38,PGATOUR,"Round 3 of the @WyndhamChamp has been suspended due to weather.

Check the Weather Hub presented by @Travelers for the latest updates."
39,Wolnisty,@PGATOUR @WyndhamChamp @Travelers Your commentators “Let’s go Brandon” was totally out of line. Shame on you
40,SMWesterly,Great summer driving tips from @myallegianceins and @Travelers for safe travels. #summer #driving #StaySafe #RoadSafety #vacation https://t.co/VFZLajdOQq
41,Andy_pm19,"RT @PGATOUR: Round 3 has been suspended due to weather.

Check the Weather Hub presented by @Travelers for the latest @WyndhamChamp updates."
42,Aileen6124,"RT @PGATOUR: Round 3 has been suspended due to weather.

Check the Weather Hub presented by @Travelers for the latest @WyndhamChamp updates."
43,ronaldothe919,"@PGATOUR @Travelers @WyndhamChamp Who really cares.
No one of note is even playing in it this weekend. Very weak field."
44,harukichi555,"RT @PGATOUR: Round 3 has been suspended due to weather.

Check the Weather Hub presented by @Travelers for the latest @WyndhamChamp updates."
45,MikeGIn713,@PGATOUR @Travelers @WyndhamChamp Hrng hrmpg ngrawl the weather looks nice to me!!! Mmmpppph
46,CrAmEr_Inverse,@PGATOUR @Travelers @WyndhamChamp Where is the stream of the Featured Group?? We are still at the same stage of the tournament and because of the weather interruption you just cancel the whole stream right away? Then I guess I'll go to LIV too....
47,sooner22,"RT @PGATOUR: Round 3 has been suspended due to weather.

Check the Weather Hub presented by @Travelers for the latest @WyndhamChamp updates."
48,carolyncbarthel,"RT @oil_strike: New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the climate c…"
49,SportingInsigh1,@BouncingFeats @PGATOUR @Travelers @WyndhamChamp Ok perfect
50,maddiem0009,"RT @PGATOUR: Round 3 has been suspended due to weather.

Check the Weather Hub presented by @Travelers for the latest @WyndhamChamp updates."
51,PeterRuLa,"RT @oil_strike: New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the climate c…"
52,BleachGoose,@PGATOUR @Travelers @WyndhamChamp East Coast in August 🙄
53,BouncingFeats,@SportingInsigh1 @PGATOUR @Travelers @WyndhamChamp 125 est
54,StopMoneyPipe,"RT @oil_strike: New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the climate c…"
55,SportingInsigh1,@BouncingFeats @PGATOUR @Travelers @WyndhamChamp Any ETA on restart?
56,Miriam2626,RT @BouncingFeats: @PGATOUR @Travelers @WyndhamChamp Weather hub says your all good to keep playing.
57,Miriam2626,RT @BuschLight27: @PGATOUR @Travelers @WyndhamChamp And your coverage stinks yet again. Why am I watching guys -2 and -1 while the guys clo…
58,BouncingFeats,@PGATOUR @Travelers @WyndhamChamp Weather hub says your all good to keep playing.
59,WyndhamChamp,"RT @PGATOUR: Round 3 has been suspended due to weather.

Check the Weather Hub presented by @Travelers for the latest @WyndhamChamp updates."
60,BuschLight27,@PGATOUR @Travelers @WyndhamChamp And your coverage stinks yet again. Why am I watching guys -2 and -1 while the guys close to the top -7 and -8 are teeing off?
61,opressor_es,"RT @PGATOUR: Round 3 has been suspended due to weather.

Check the Weather Hub presented by @Travelers for the latest @WyndhamChamp updates."
62,TripleBogeyGC,"PGATOUR: Round 3 has been suspended due to weather.

Check the Weather Hub presented by @Travelers for the latest @WyndhamChamp updates."
63,sambonnar2,"RT @PGATOUR: Round 3 has been suspended due to weather.

Check the Weather Hub presented by @Travelers for the latest @WyndhamChamp updates."
64,justinmv15,"RT @PGATOUR: Round 3 has been suspended due to weather.

Check the Weather Hub presented by @Travelers for the latest @WyndhamChamp updates."
65,PGATOUR,"Round 3 has been suspended due to weather.

Check the Weather Hub presented by @Travelers for the latest @WyndhamChamp updates."
66,smb2_airport,RT @imam_rachman_: Hore! Dibuka Lagi Penerbangan ke Jakarta lewat Bandara Purbalingga https://t.co/6AIFrXposL @jokowi @kemenhub151 @BudiKar…
67,CubinTB,RT @imam_rachman_: Hore! Dibuka Lagi Penerbangan ke Jakarta lewat Bandara Purbalingga https://t.co/6AIFrXposL @jokowi @kemenhub151 @BudiKar…
68,UWGR_Golf,@SportsTalk_JP @PGATOUR @WyndhamChamp @Travelers They would need to put a letter into Monahan to seek permission
69,ajul2707,@imam_rachman_ @mawaluddin @jokowi @kemenhub151 @BudiKaryaS @djpu151 @KabPurbalingga @AngkasaPura_2 @pramugari_ID @YLKI_ID @Travelers @ikatanpilotindo @MutiaraSyafrina @megasalsabila76 @AdiwijayaNur Yg penting kontinuitasnya
70,FalliveneEdward,"RT @PGATOUR: Play has been suspended due to weather @WyndhamChamp.

Check the Weather Hub presented by @Travelers for the latest updates."
71,mawaluddin,RT @imam_rachman_: Hore! Dibuka Lagi Penerbangan ke Jakarta lewat Bandara Purbalingga https://t.co/6AIFrXposL @jokowi @kemenhub151 @BudiKar…
72,Irish50k,"RT @hertvikinsgrp: As you consider whether to buy renters insurance, here are four things from @Travelers you need to know:
https://t.co/cN…"
73,hertvikinsgrp,"As you consider whether to buy renters insurance, here are four things from @Travelers you need to know:
https://t.co/cNT9bqHNOW

#HertvikInsurance #Medina #Sandusky #NorthCanton"
74,imam_rachman_,Hore! Dibuka Lagi Penerbangan ke Jakarta lewat Bandara Purbalingga https://t.co/6AIFrXposL @jokowi @kemenhub151 @BudiKaryaS @djpu151 @KabPurbalingga @AngkasaPura_2 @mawaluddin @pramugari_ID @YLKI_ID @Travelers @ikatanpilotindo @MutiaraSyafrina  @megasalsabila76 @AdiwijayaNur
75,chrisrose102592,"@tflack29 @coolguybeast @PGATOUR @WyndhamChamp @Travelers If smotherman birdies the final hole it’ll move to -2, if he pars or worse it’ll stay at -1"
76,JohnYu48499517,@PGATOUR @WyndhamChamp @Travelers 👍
77,SpolarMike,"PGATOUR: Play has been suspended due to weather @WyndhamChamp.

Check the Weather Hub presented by @Travelers for the latest updates."
78,PGAGolfChat,"PGATOUR: Play has been suspended due to weather @WyndhamChamp.

Check the Weather Hub presented by @Travelers for the latest updates."
79,Agency4Business,"@LunovaInsurance @progressive @LibertyMutual @WeAreFarmers @MarlboroChamber @ArbellaIns @Travelers @The_Hanover @Amica @Allstate #Discover top #rated #LunovaInsurance (auto, home, &amp; business owners insurance #company) agents:

Lunova Insurance
14A Winthrop St Marlborough, MA 01752 1-508-258-7195
https://t.co/rZ1Rx8QMrA

https://t.co/3rUeOs2PJJ
#LunovaInsurance #Rates #business #coverage #quotes in #MA #FL"
80,FatimaFlash,"RT @CarolinePaxton3: New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the clim…"
81,Andy_pm19,"RT @PGATOUR: Play has been suspended due to weather @WyndhamChamp.

Check the Weather Hub presented by @Travelers for the latest updates."
82,CH_INS_AGENCY,RT @Travelers: Summer nights are the perfect time to roast marshmallows around the fire. 🔥 Help keep your family and guests safe by followi…
83,jacktowntweet,"RT @PGATOUR: Play has been suspended due to weather @WyndhamChamp.

Check the Weather Hub presented by @Travelers for the latest updates."
84,Habyodun_Q,RT @Travelers: Summer nights are the perfect time to roast marshmallows around the fire. 🔥 Help keep your family and guests safe by followi…
85,ArianeArijana,"RT @PGATOUR: Play has been suspended due to weather @WyndhamChamp.

Check the Weather Hub presented by @Travelers for the latest updates."
86,Golfdrills,@PGATOUR @WyndhamChamp @Travelers Sorry Zach if you were playing the liv tour this wouldn’t have happened you would’ve been done already with everyone else!
87,HartfordPromise,@TheVillage_CT @Hartford_Public @Travelers 💚💚💚💚💚💚
88,ericgwelch,@enterprisecares you don’t really care.  @Travelers books me a car for 30 days.  You accepted the reservation.  I Uber 25 miles to location only to be told you have no cars.  Just Terrible.
89,tflack29,@coolguybeast @PGATOUR @WyndhamChamp @Travelers Thank you
90,tflack29,@coolguybeast @PGATOUR @WyndhamChamp @Travelers Thank you
91,CoachB_NCS,"RT @PGATOUR: Play has been suspended due to weather @WyndhamChamp.

Check the Weather Hub presented by @Travelers for the latest updates."
92,coolguybeast,@tflack29 @PGATOUR @WyndhamChamp @Travelers All it'll take is net 2 players moving up to -2 or better to move the cut to -2.
93,coolguybeast,@tflack29 @PGATOUR @WyndhamChamp @Travelers Live odds at Data Golf suggests 77% chance it goes to -2 and other 23% has it staying at -1.
94,tflack29,@PGATOUR @WyndhamChamp @Travelers Is the cutline gonna stay -1? Anyone have any insight?
95,SmittsPicks,"@PGATOUR @WyndhamChamp @Travelers You've got about 2 hours until sunset, and next storms at 9:00..... lets go. https://t.co/gAybImlFlQ"
96,JaredYeldellMV,"RT @PGATOUR: Play has been suspended due to weather @WyndhamChamp.

Check the Weather Hub presented by @Travelers for the latest updates."
97,MattMolyRisk,@VR46GAZ @PGATOUR @WyndhamChamp @Travelers 🙄
98,hlandaverdez,"RT @PGATOUR: Play has been suspended due to weather @WyndhamChamp.

Check the Weather Hub presented by @Travelers for the latest updates."
99,SportsTalk_JP,"@PGATOUR @WyndhamChamp @Travelers For moments like this, I think the player should have the right to decide if he hits this ball or doesn’t. Play to stop after his decision of course.

Some players might not feel comfortable with the lie and time could change that. Some are ready to swing! Positive/negative!"
100,VR46GAZ,@PGATOUR @WyndhamChamp @Travelers I can't believe God didn't let him finish the hole!!
